Date,Close,Close,Rates
2017-11-29,2.99,2.99,1.23
2017-11-30,2.99,2.99,1.23
2017-12-01,3.23,3.23,1.32
2017-12-04,3.76,3.76,1.32
2017-12-05,3.76,3.76,1.32
2017-12-06,3.74,3.74,1.32
2017-12-07,3.78,3.78,1.32
2017-12-08,3.84,3.84,1.32
2017-12-11,3.85,3.85,1.32
2017-12-12,3.98,3.98,1.32
2017-12-13,3.97,3.97,1.32
2017-12-14,4.21,4.21,1.32
2017-12-15,4.22,4.22,1.32
2017-12-18,4.3,4.3,1.32
2017-12-19,4.45,4.45,1.32
2017-12-20,4.41,4.41,1.32
2017-12-21,4.04,4.04,1.32
2017-12-22,4.04,4.04,1.32
2017-12-26,4.14,4.14,1.32
2017-12-27,4.21,4.21,1.32
2017-12-28,4.29,4.29,1.32
2017-12-29,4.03,4.03,1.32
2018-01-02,4.13,4.13,1.41
2018-01-03,4.1,4.1,1.41
2018-01-04,3.99,3.99,1.41
2018-01-05,3.91,3.91,1.41
2018-01-08,3.71,3.71,1.41
2018-01-09,3.48,3.48,1.41
2018-01-10,3.4,3.4,1.41
2018-01-11,3.53,3.53,1.41
2018-01-12,3.41,3.41,1.41
2018-01-16,3.18,3.18,1.41
2018-01-17,3.16,3.16,1.41
2018-01-18,3.2,3.2,1.41
2018-01-19,3.06,3.06,1.41
2018-01-22,3.21,3.21,1.41
2018-01-23,3.2,3.2,1.41
2018-01-24,3.08,3.08,1.41
2018-01-25,3.05,3.05,1.41
2018-01-26,3.09,3.09,1.41
2018-01-29,3.12,3.12,1.41
2018-01-30,3.05,3.05,1.41
2018-01-31,2.99,2.99,1.41
2018-02-01,3.02,3.02,1.57
2018-02-02,3.04,3.04,1.57
2018-02-05,3.08,3.08,1.57
2018-02-06,3.12,3.12,1.57
2018-02-07,3.2,3.2,1.57
2018-02-08,3.7,3.7,1.57
2018-02-09,3.26,3.26,1.57
2018-02-12,3.35,3.35,1.57
2018-02-13,3.35,3.35,1.57
2018-02-14,3.47,3.47,1.57
2018-02-15,3.31,3.31,1.57
2018-02-16,3.56,3.56,1.57
2018-02-20,3.39,3.39,1.57
2018-02-21,3.27,3.27,1.57
2018-02-22,3.31,3.31,1.57
2018-02-23,3.1,3.1,1.57
2018-02-26,2.97,2.97,1.57
2018-02-27,2.78,2.78,1.57
2018-02-28,2.79,2.79,1.57
2018-03-01,2.71,2.71,1.7
2018-03-02,2.74,2.74,1.7
2018-03-05,2.6,2.6,1.7
2018-03-06,2.55,2.55,1.7
2018-03-07,2.49,2.49,1.7
2018-03-08,2.07,2.07,1.7
2018-03-09,2.29,2.29,1.7
2018-03-12,2.07,2.07,1.7
2018-03-13,2.15,2.15,1.7
2018-03-14,2.16,2.16,1.7
2018-03-15,2.19,2.19,1.7
2018-03-16,2.15,2.15,1.7
2018-03-19,2.17,2.17,1.7
2018-03-20,2.07,2.07,1.7
2018-03-21,2.15,2.15,1.7
2018-03-22,2.05,2.05,1.7
2018-03-23,2.04,2.04,1.7
2018-03-26,1.96,1.96,1.7
2018-03-27,1.99,1.99,1.7
2018-03-28,1.88,1.88,1.7
2018-03-29,2.0,2.0,1.7
2018-04-02,1.87,1.87,1.76
2018-04-03,1.8,1.8,1.76
2018-04-04,1.85,1.85,1.76
2018-04-05,1.86,1.86,1.76
2018-04-06,1.77,1.77,1.76
2018-04-09,1.85,1.85,1.76
2018-04-10,1.84,1.84,1.76
2018-04-11,1.81,1.81,1.76
2018-04-12,1.82,1.82,1.76
2018-04-13,1.93,1.93,1.76
2018-04-16,2.04,2.04,1.76
2018-04-17,1.98,1.98,1.76
2018-04-18,2.06,2.06,1.76
2018-04-19,2.0,2.0,1.76
2018-04-20,2.0,2.0,1.76
2018-04-23,1.98,1.98,1.76
2018-04-24,1.93,1.93,1.76
2018-04-25,1.97,1.97,1.76
2018-04-26,2.26,2.26,1.76
2018-04-27,2.09,2.09,1.76
2018-04-30,2.09,2.09,1.76
2018-05-01,2.1,2.1,1.86
2018-05-02,2.1,2.1,1.86
2018-05-03,2.3,2.3,1.86
2018-05-04,2.44,2.44,1.86
2018-05-07,2.55,2.55,1.86
2018-05-08,2.84,2.84,1.86
2018-05-09,2.67,2.67,1.86
2018-05-10,2.46,2.46,1.86
2018-05-11,2.44,2.44,1.86
2018-05-14,2.51,2.51,1.86
2018-05-15,2.55,2.55,1.86
2018-05-16,2.62,2.62,1.86
2018-05-17,2.77,2.77,1.86
2018-05-18,2.81,2.81,1.86
2018-05-21,3.0,3.0,1.86
2018-05-22,3.19,3.19,1.86
2018-05-23,2.97,2.97,1.86
2018-05-24,3.08,3.08,1.86
2018-05-25,3.05,3.05,1.86
2018-05-29,2.94,2.94,1.86
2018-05-30,3.03,3.03,1.86
2018-05-31,3.07,3.07,1.86
2018-06-01,3.19,3.19,1.9
2018-06-04,3.38,3.38,1.9
2018-06-05,3.38,3.38,1.9
2018-06-06,3.25,3.25,1.9
2018-06-07,3.19,3.19,1.9
2018-06-08,3.2,3.2,1.9
2018-06-11,3.2,3.2,1.9
2018-06-12,3.06,3.06,1.9
2018-06-13,3.05,3.05,1.9
2018-06-14,3.1,3.1,1.9
2018-06-15,3.03,3.03,1.9
2018-06-18,3.21,3.21,1.9
2018-06-19,3.28,3.28,1.9
2018-06-20,3.38,3.38,1.9
2018-06-21,3.3,3.3,1.9
2018-06-22,3.33,3.33,1.9
2018-06-25,3.26,3.26,1.9
2018-06-26,3.18,3.18,1.9
2018-06-27,3.25,3.25,1.9
2018-06-28,3.22,3.22,1.9
2018-06-29,3.35,3.35,1.9
2018-07-02,3.31,3.31,1.96
2018-07-03,3.28,3.28,1.96
2018-07-05,3.53,3.53,1.96
2018-07-06,3.35,3.35,1.96
2018-07-09,3.44,3.44,1.96
2018-07-10,3.81,3.81,1.96
2018-07-11,3.67,3.67,1.96
2018-07-12,3.92,3.92,1.96
2018-07-13,3.89,3.89,1.96
2018-07-16,3.74,3.74,1.96
2018-07-17,3.58,3.58,1.96
2018-07-18,3.55,3.55,1.96
2018-07-19,3.4,3.4,1.96
2018-07-20,3.11,3.11,1.96
2018-07-23,3.18,3.18,1.96
2018-07-24,2.94,2.94,1.96
2018-07-25,3.1,3.1,1.96
2018-07-26,3.08,3.08,1.96
2018-07-27,2.76,2.76,1.96
2018-07-30,2.46,2.46,1.96
2018-07-31,2.37,2.37,1.96
2018-08-01,2.42,2.42,2.03
2018-08-02,1.83,1.83,2.03
2018-08-03,2.16,2.16,2.03
2018-08-06,2.06,2.06,2.03
2018-08-07,2.14,2.14,2.03
2018-08-08,2.28,2.28,2.03
2018-08-09,2.24,2.24,2.03
2018-08-10,2.16,2.16,2.03
2018-08-13,2.13,2.13,2.03
2018-08-14,2.08,2.08,2.03
2018-08-15,2.03,2.03,2.03
2018-08-16,2.11,2.11,2.03
2018-08-17,2.19,2.19,2.03
2018-08-20,2.22,2.22,2.03
2018-08-21,2.27,2.27,2.03
2018-08-22,2.29,2.29,2.03
2018-08-23,2.3,2.3,2.03
2018-08-24,2.23,2.23,2.03
2018-08-27,2.14,2.14,2.03
2018-08-28,2.13,2.13,2.03
2018-08-29,2.1,2.1,2.03
2018-08-30,2.01,2.01,2.03
2018-08-31,2.02,2.02,2.03
2018-09-04,1.97,1.97,2.03
2018-09-05,1.85,1.85,2.03
2018-09-06,1.8,1.8,2.03
2018-09-07,1.82,1.82,2.03
2018-09-10,1.91,1.91,2.03
2018-09-11,1.84,1.84,2.03
2018-09-12,1.83,1.83,2.03
2018-09-13,1.87,1.87,2.03
2018-09-14,1.83,1.83,2.03
2018-09-17,1.78,1.78,2.03
2018-09-18,1.75,1.75,2.03
2018-09-19,1.68,1.68,2.03
2018-09-20,1.87,1.87,2.03
2018-09-21,1.79,1.79,2.03
2018-09-24,1.67,1.67,2.03
2018-09-25,1.82,1.82,2.03
2018-09-26,1.77,1.77,2.03
2018-09-27,1.7,1.7,2.03
2018-09-28,1.72,1.72,2.03
2018-10-01,1.6,1.6,2.03
2018-10-02,1.47,1.47,2.03
2018-10-03,1.39,1.39,2.03
2018-10-04,1.52,1.52,2.03
2018-10-05,1.52,1.52,2.03
2018-10-08,1.47,1.47,2.03
2018-10-09,1.38,1.38,2.03
2018-10-10,1.34,1.34,2.03
2018-10-11,1.3,1.3,2.03
2018-10-12,1.34,1.34,2.03
2018-10-15,1.35,1.35,2.03
2018-10-16,1.35,1.35,2.03
